number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_type,params_od_wait,params_random_strength,state
90,0.47868878620367256,2024-12-05 16:07:59.976753,2024-12-05 16:13:55.102035,0 days 00:05:55.125282,0.4479320210749204,46,8,478,0.10781987631380784,0.07216806868415988,IncToDec,26,6.617406146792738e-09,COMPLETE
91,0.4792509790405104,2024-12-05 16:08:04.649419,2024-12-05 16:13:55.308359,0 days 00:05:50.658940,0.534257555285261,52,8,480,0.16910635104024518,0.06666165905544315,IncToDec,26,4.355688026687455e-09,COMPLETE
24,0.4796376441959807,2024-12-05 15:00:43.309963,2024-12-05 15:03:17.064749,0 days 00:02:33.754786,4.467090951061054e-05,107,5,130,0.6314165614504156,0.999356579886139,IncToDec,18,6.881385070310303e-08,COMPLETE
92,0.4796936913205088,2024-12-05 16:12:44.302728,2024-12-05 16:18:27.187779,0 days 00:05:42.885051,0.3476254501947532,53,8,477,0.16317258635411241,0.07169696779408999,IncToDec,24,4.739148360940336e-09,COMPLETE
55,0.48102891972712153,2024-12-05 15:21:20.150116,2024-12-05 15:24:03.840937,0 days 00:02:43.690821,2.4051146991859582e-05,128,6,117,0.33008808970496545,0.5781900534064461,IncToDec,19,2.35754493119805e-09,COMPLETE
54,0.48178661416483093,2024-12-05 15:21:17.540101,2024-12-05 15:24:08.009668,0 days 00:02:50.469567,0.00011451619099303977,110,6,125,0.3718577542627638,0.5994091360956497,IncToDec,19,2.759156860834229e-09,COMPLETE
25,0.48186520260450505,2024-12-05 15:00:46.614903,2024-12-05 15:03:20.798254,0 days 00:02:34.183351,2.8895260758889823e-05,109,5,128,0.6654036170939136,0.6130948302143616,IncToDec,18,2.1740006626805377e-09,COMPLETE
26,0.4846936432208385,2024-12-05 15:01:12.400520,2024-12-05 15:03:44.042472,0 days 00:02:31.641952,3.770587197526465e-05,109,5,148,0.46773995483886543,0.8983156469462595,IncToDec,19,1.9092352999320388e-08,COMPLETE
56,0.48559865002245217,2024-12-05 15:23:29.433431,2024-12-05 15:26:14.570847,0 days 00:02:45.137416,3.906760078868943e-06,110,6,125,0.37921501483701914,0.5977156280782735,IncToDec,19,2.9507842512781786e-09,COMPLETE
27,0.48603588380389623,2024-12-05 15:01:15.450964,2024-12-05 15:03:45.471987,0 days 00:02:30.021023,1.0583779088222743e-05,107,6,141,0.14546634625362198,0.7722578521525733,IncToDec,28,4.147603600585971e-09,COMPLETE
57,0.48926108472999275,2024-12-05 15:23:33.185571,2024-12-05 15:26:14.510882,0 days 00:02:41.325311,3.937438254373712e-06,110,6,271,0.32666787731617686,0.5746424179836848,IncToDec,19,2.25078181610371e-09,COMPLETE
58,0.49550522203607467,2024-12-05 15:24:05.821097,2024-12-05 15:26:45.071214,0 days 00:02:39.250117,4.253515408863049e-06,101,6,253,0.3676129609609,0.5790052739034253,IncToDec,19,2.4018901542936136e-09,COMPLETE
59,0.49564614160920845,2024-12-05 15:24:08.053289,2024-12-05 15:26:44.986571,0 days 00:02:36.933282,3.7754004097840556e-06,101,6,128,0.26313452779830476,0.3826727613295433,IncToDec,17,2.697247249691876e-09,COMPLETE
64,0.5011076800937786,2024-12-05 15:32:06.235597,2024-12-05 15:37:39.644785,0 days 00:05:33.409188,2.372971254288921e-05,128,7,396,0.05249199079467343,0.3265954358869,IncToDec,17,1.8163048584359008e-08,COMPLETE
53,0.504622924443049,2024-12-05 15:20:47.603941,2024-12-05 15:23:29.416727,0 days 00:02:41.812786,0.00012297587496210377,126,5,123,0.0025124439243474337,0.15224999624809582,IncToDec,14,1.4298464384534892e-07,COMPLETE
52,0.504622924443049,2024-12-05 15:20:47.579282,2024-12-05 15:23:33.174815,0 days 00:02:45.595533,0.00010244090891701902,127,5,116,0.002883285857071851,0.15501645176373574,IncToDec,15,1.337486262773032e-07,COMPLETE
